driver,lap,time_stamp,speed_kph,rpm,gear,throttle_pct,brake_pct,drs,sector,lat,long,sector_time_ms
VER,1,13.4,119.6,12500,2,46,0,0,1,45.62935329441773,9.29509337438906,0
VER,1,13.6,120.7,12500,2,45,0,0,1,45.629268498844354,9.295174371741588,0
VER,1,13.8,116.9,12500,2,98,0,0,1,45.629181617838306,9.295253974645007,0
VER,1,14.0,124.1,12500,2,59,0,0,1,45.62909629666417,9.295328965753725,0
VER,1,14.2,122.7,12500,2,48,0,0,1,45.6290044316835,9.29540634238002,0
VER,1,14.4,124.9,12500,2,42,0,0,1,45.62891231871551,9.295480579194896,0
VER,1,14.6,123.8,12500,2,90,0,0,1,45.628817283948585,9.29555381190637,0
VER,1,14.8,125.0,12500,2,91,0,0,1,45.62872184618764,9.295624070029662,0
VER,1,15.0,123.6,12500,2,97,0,0,1,45.62862417698889,9.29569270634397,0
VER,1,15.2,121.6,12500,2,100,0,0,1,45.62852642469115,9.295758230090879,0
VER,1,15.4,127.4,11738,3,93,0,0,1,45.628429153910936,9.295820407071565,0
VER,1,15.6,127.7,11638,3,96,0,0,1,45.628325996649494,9.295883178925635,0
VER,1,15.8,130.5,11841,3,95,0,0,1,45.62822140978022,9.295943618855118,0
VER,1,16.0,131.0,11861,3,94,0,0,1,45.62811338529856,9.29600278933552,0
VER,1,16.2,133.2,11993,3,93,0,0,1,45.628003725369936,9.296059597400701,0
VER,1,16.4,129.7,11729,3,100,0,0,1,45.62789098222184,9.296114705546143,0
VER,1,16.6,133.4,11906,3,100,0,0,1,45.627780106226865,9.296165756305802,0
VER,1,16.8,133.1,11979,3,100,0,0,1,45.627664984356436,9.296215576091745,0
VER,1,17.0,137.6,12028,3,98,0,0,1,45.627548983005354,9.296262603188426,0
VER,1,17.2,138.5,12220,3,100,0,0,1,45.62742795160199,9.29630838588637,0
VER,1,17.4,142.2,12251,3,99,0,0,1,45.62730502374745,9.296351564159153,0
VER,1,17.6,140.9,12211,3,100,0,0,1,45.62717769703933,9.29639287027333,0
VER,1,17.8,143.0,12381,3,100,0,0,1,45.627050473912334,9.296430776881627,0
VER,1,18.0,144.6,12375,3,100,0,0,1,45.62692022924625,9.296466202981009,0
VER,1,18.2,144.4,12419,3,100,0,0,1,45.62678752544765,9.296498881928867,0
VER,1,18.4,147.9,12500,3,100,0,0,1,45.62665405975841,9.29652836816576,0
VER,1,18.6,149.1,12500,3,100,0,0,1,45.62651636835803,9.296555331545452,0
VER,1,18.8,151.0,12500,3,100,0,0,1,45.626376621522724,9.29657920196354,0
VER,1,19.0,152.6,12500,3,100,0,0,1,45.626234202794414,9.296599997339504,0
VER,1,19.2,155.0,12500,3,100,0,0,1,45.6260894166229,9.296617572795354,0
VER,1,19.4,159.4,12500,3,100,0,0,1,45.62594151397834,9.296631901053848,0
VER,1,19.6,161.9,12500,3,100,0,0,1,45.625788508622506,9.296642953994349,0
VER,1,19.8,163.6,12500,3,100,0,0,1,45.62563237722972,9.296650365632706,0
VER,1,20.0,167.5,12500,3,100,0,0,1,45.62547382974996,9.296653976221073,0
VER,1,20.2,167.1,12500,3,100,0,0,1,45.625310884947886,9.296653654837893,0
VER,1,20.4,169.2,11698,4,100,0,0,1,45.62514765429396,9.296649308780957,0
VER,1,20.6,168.8,11629,4,100,0,0,1,45.62498189878251,9.29664084293145,0
VER,1,20.8,178.2,11891,4,100,0,0,1,45.624816051944094,9.296628347847617,0
VER,1,21.0,180.0,12040,4,100,0,0,1,45.62464058633275,9.296610807081379,0
VER,1,21.2,183.2,12125,4,100,0,0,1,45.62446296089772,9.29658858306876,0
VER,1,21.4,188.5,12375,4,100,0,0,1,45.624281898285865,9.29656135606865,0
VER,1,21.6,187.2,12221,4,100,0,0,1,45.624095433504905,9.29652853935255,0
VER,1,21.8,190.8,12296,4,100,0,0,1,45.62391026891566,9.296491194440499,0
VER,1,22.0,195.1,12414,4,100,0,0,1,45.62372157147013,9.296448292585922,0
VER,1,22.2,199.5,12500,4,100,0,0,1,45.62352883119158,9.296399447917423,0
VER,1,22.4,202.4,12500,4,100,0,0,1,45.62333198317215,9.296344338456722,0
VER,1,22.6,203.9,12500,4,100,0,0,1,45.62313273894904,9.296283189463807,0
VER,1,22.8,206.0,12500,4,100,0,0,1,45.62293255719609,9.296216309852133,0
VER,1,23.0,209.4,12500,4,100,0,0,1,45.622731098415606,9.296143481031987,0
VER,1,23.2,211.8,11567,5,100,0,0,1,45.62252721422367,9.296064108370626,0
VER,1,23.4,216.0,11630,5,100,0,0,1,45.622322034298605,9.295978436787879,0
VER,1,23.6,216.7,11776,5,100,0,0,1,45.622113963944756,9.295885568804108,0
VER,1,23.8,223.7,11927,5,100,0,0,1,45.62190654188085,9.295786919829256,0
VER,1,24.0,225.4,12064,5,100,0,0,1,45.62169408115128,9.29567950600807,0
VER,1,24.2,226.8,11991,5,100,0,0,1,45.62148179674111,9.295565642160842,0
VER,1,24.4,231.1,12258,5,96,0,0,1,45.62127011776491,9.295445475238722,0
VER,1,24.6,236.1,12308,5,93,0,0,1,45.62105660062608,9.295317420884805,0
VER,1,24.8,234.4,12300,5,99,0,0,1,45.62084089177866,9.295180909583687,0
VER,1,25.0,237.9,12359,5,96,0,0,1,45.6206292934765,9.295039844436797,0
VER,1,25.2,242.5,12491,5,0,35,0,1,45.62041729061443,9.294891201563912,0
VER,1,25.4,244.8,12500,5,0,40,0,1,45.62020419270195,9.294734191853877,0
VER,1,25.6,246.2,12500,5,0,41,0,1,45.619992284456714,9.294570250386114,0
VER,1,25.8,229.7,12071,5,93,0,0,1,45.6197825420414,9.294400039694738,0
VER,1,26.0,230.7,12135,5,93,0,0,1,45.6195900543589,9.29423661429205,0
VER,1,26.2,234.0,12324,5,52,0,0,1,45.619399986842176,9.294068201982954,0
VER,1,26.4,233.6,12274,5,90,0,0,1,45.619210528893554,9.293893087075675,0
VER,1,26.6,236.3,12336,5,43,0,0,1,45.619024871385534,9.293714174363494,0
VER,1,26.8,234.4,12342,5,56,0,0,1,45.618840751959894,9.29352928082484,0
VER,1,27.0,237.6,12470,5,57,0,0,1,45.61866176393664,9.293342088476637,0
VER,1,27.2,242.0,12500,5,49,0,0,1,45.61848412742581,9.293148698152887,0
VER,1,27.4,238.4,12436,5,51,0,0,1,45.6183072267746,9.292948197354495,0
VER,1,27.6,238.8,12500,5,51,0,0,1,45.618136928667155,9.292747335462293,0
VER,1,27.8,239.1,12500,5,55,0,0,1,45.617970380043715,9.29254305648274,0
VER,1,28.0,238.7,12481,5,44,0,0,1,45.61780769715522,9.292335627442963,0
VER,1,28.2,237.9,12492,5,44,0,0,1,45.617649358959824,9.29212583202139,0
VER,1,28.4,238.9,12337,5,0,21,0,1,45.6174956348104,9.291914265502367,0
VER,1,28.6,239.6,12455,5,0,29,0,1,45.617345367558485,9.291699515500865,0
VER,1,28.8,233.6,12183,5,43,0,0,1,45.61719876945029,9.29148199998793,0
VER,1,29.0,232.0,12220,5,48,0,0,1,45.617059829855364,9.291268116150198,0
VER,1,29.2,235.2,12229,5,0,35,0,1,45.61692569014886,9.29105406174375,0
VER,1,29.4,234.1,12201,5,0,37,0,1,45.61679359388004,9.290835582905297,0
VER,1,29.6,229.4,12048,5,0,33,0,1,45.61666599355553,9.290616870730778,0
VER,1,29.8,224.6,11947,5,0,23,0,1,45.616544684877816,9.290401543211793,0
VER,1,30.0,223.1,11859,5,0,25,0,1,45.61642942528865,9.29018988589201,0
VER,1,30.2,226.4,11991,5,0,46,0,1,45.616318309823,9.2899789526992,0
VER,1,30.4,221.5,11970,5,0,45,0,1,45.61620899609719,9.289764479347648,0
VER,1,30.6,223.7,11938,5,0,62,0,1,45.61610527037453,9.289554242229375,0
VER,1,30.8,215.4,11664,5,0,39,0,1,45.616003732195836,9.289341759726886,0
VER,1,31.0,212.9,11573,5,0,39,0,1,45.61590896975221,9.28913719617247,0
VER,1,31.2,209.8,12500,4,0,47,0,1,45.615818087016834,9.288935059821904,0
VER,1,31.4,209.1,12500,4,0,54,0,1,45.615731212391964,9.288736153177977,0
VER,1,31.6,205.0,12500,4,0,49,0,1,45.61564718768429,9.288538267525329,0
VER,1,31.8,203.7,12500,4,0,55,0,1,45.61556719406542,9.28834465663784,0
VER,1,32.0,200.9,12500,4,0,55,0,1,45.61549000439879,9.288152842219041,0
VER,1,32.2,197.6,12500,4,0,53,0,1,45.61541605589488,9.287964348745506,0
VER,1,32.4,191.8,12332,4,0,41,0,1,45.6153453515783,9.287779684512945,0
VER,1,32.6,193.0,12384,4,0,57,0,1,45.615278590770075,9.287601256411742,0
VER,1,32.8,190.9,12280,4,0,60,0,1,45.615213187351124,9.287422573679635,0
VER,1,33.0,182.7,12068,4,0,50,0,1,45.615150168226116,9.287246739249799,0
VER,1,33.2,179.7,11954,4,0,50,0,1,45.615091375429884,9.287079447179615,0
VER,1,33.4,177.7,11969,4,0,53,0,1,45.615034920676386,9.28691587080548,0
VER,1,33.6,175.9,11812,4,0,57,0,1,45.614980375504594,9.286755129142225,0
VER,1,33.8,176.2,11890,4,0,58,0,1,45.614927603178394,9.28659714140594,0
VER,1,34.0,173.1,11809,4,0,57,0,1,45.61487586932734,9.286439976640795,0
VER,1,34.2,170.5,11598,4,0,58,0,1,45.61482609882453,9.286286729299468,0
VER,1,34.4,164.0,12500,3,0,44,0,1,45.61477803633828,9.286136938822311,0
VER,1,34.6,162.7,12500,3,0,49,0,1,45.61473266726075,9.285994027915343,0
VER,1,34.8,162.3,12500,3,0,58,0,1,45.61468844069199,9.285853418691545,0
VER,1,35.0,156.2,12500,3,0,45,0,1,45.61464504337862,9.285714330061966,0
VER,1,35.2,149.2,12500,3,0,29,0,1,45.614603917067775,9.285581630997667,0
VER,1,35.4,151.9,12500,3,0,49,0,2,45.61456516339048,9.285455921782152,0
VER,1,35.6,148.7,12462,3,0,46,0,2,45.614526214056404,9.285329058796602,0
VER,1,35.8,150.9,12500,3,0,55,0,2,45.61448855273183,9.285206029606242,0
VER,1,36.0,147.9,12480,3,0,52,0,2,45.614450756454836,9.28508234374999,0
VER,1,36.2,141.2,12194,3,0,36,0,2,45.61441409393438,9.284962303331392,0
VER,1,36.4,141.0,12266,3,0,44,0,2,45.61437940307214,9.284848792200386,0
VER,1,36.6,138.7,12196,3,0,44,0,2,45.614345041055174,9.284736556208681,0
VER,1,36.8,138.7,12128,3,0,44,0,2,45.614311483439245,9.284627262863305,0
VER,1,37.0,134.4,12025,3,0,36,0,2,45.61427813435753,9.28451908001996,0
VER,1,37.2,134.5,12042,3,0,45,0,2,45.6142459770255,9.284415285394893,0
VER,1,37.4,130.1,11801,3,0,35,0,2,45.6142139367938,9.284312489902188,0
VER,1,37.6,131.2,11838,3,0,40,0,2,45.61418306249075,9.28421412371796,0
VER,1,37.8,130.0,11761,3,0,42,0,2,45.61415200852964,9.284115965552786,0
VER,1,38.0,126.5,11610,3,0,36,0,2,45.614121295505996,9.284019748816664,0
VER,1,38.2,121.9,12500,2,0,25,0,2,45.61409144408753,9.283927140411508,0
VER,1,38.4,125.4,12500,2,0,38,0,2,45.61406268500625,9.283838843555104,0
VER,1,38.6,121.7,12500,2,0,30,0,2,45.61403309587538,9.28374901595403,0
VER,1,38.8,118.9,12500,2,0,25,0,2,45.61400436019445,9.283662832966968,0
VER,1,39.0,122.8,12500,2,0,40,0,2,45.61397624511849,9.28357957446774,0
VER,1,39.2,118.1,12500,2,0,28,0,2,45.61394714276818,9.283494555945644,0
VER,1,39.4,115.0,12500,2,0,21,0,2,45.613919076055346,9.283413733326189,0
VER,1,39.6,115.9,12500,2,0,24,0,2,45.61389166466079,9.28333594902073,0
VER,1,39.8,114.2,12500,2,0,22,0,2,45.613863951531656,9.283258502078239,0
VER,1,40.0,117.6,12500,2,0,39,0,2,45.613836523714475,9.283183066335807,0
VER,1,40.2,116.2,12500,2,0,33,0,2,45.61380814694049,9.283106321248315,0
VER,1,40.4,113.3,12500,2,0,26,0,2,45.61377997950715,9.283031475856017,0
VER,1,40.6,110.5,12500,2,59,0,0,2,45.613752363785245,9.282959406580154,0
VER,1,40.8,108.8,12500,2,53,0,0,2,45.613725274509434,9.282889986779377,0
VER,1,41.0,108.5,12500,2,46,0,0,2,45.61369843806489,9.282822471655294,0
VER,1,41.2,109.6,12500,2,51,0,0,2,45.613671512089475,9.282755996026646,0
VER,1,41.4,106.0,12500,2,45,0,0,2,45.61364412958151,9.282689697080741,0
VER,1,41.6,109.9,12500,2,0,21,0,2,45.61361746283539,9.282626396195841,0
VER,1,41.8,110.9,12500,2,0,25,0,2,45.613589608280954,9.282561607158353,0
VER,1,42.0,107.9,12500,2,58,0,0,2,45.613561270144544,9.282497084833448,0
VER,1,42.2,103.9,12500,2,59,0,0,2,45.613533481382724,9.28243516905195,0
VER,1,42.4,104.7,12500,2,55,0,0,2,45.61350651023085,9.282376349611296,0
VER,1,42.6,102.3,12500,2,53,0,0,2,45.61347910803401,9.282317864821618,0
VER,1,42.8,103.3,12495,2,45,0,0,2,45.613452115185694,9.282261497148951,0
VER,1,43.0,103.8,12500,2,57,0,0,2,45.61342463345626,9.282205361719173,0
VER,1,43.2,102.7,12423,2,46,0,0,2,45.61339678968289,9.282149759583818,0
VER,1,43.4,104.0,12500,2,42,0,0,2,45.61336900063403,9.282095525899598,0
VER,1,43.6,103.6,12500,2,42,0,0,2,45.61334061978002,9.2820414154675,0
VER,1,43.8,103.7,12500,2,43,0,0,2,45.61331209174474,9.281988304437935,0
VER,1,44.0,103.9,12500,2,45,0,0,2,45.61328327225569,9.28193593056336,0
VER,1,44.2,101.9,12493,2,54,0,0,2,45.613254121869524,9.281884239060743,0
VER,1,44.4,100.4,12388,2,92,0,0,2,45.61322527823611,9.281834337044671,0
VER,1,44.6,102.4,12427,2,53,0,0,2,45.61319658161387,9.281785893594817,0
VER,1,44.8,103.9,12500,2,40,0,0,2,45.61316704564141,9.28173726084718,0
VER,1,45.0,102.1,12494,2,91,0,0,2,45.61313678331669,9.281688694990384,0
VER,1,45.2,101.3,12500,2,95,0,0,2,45.61310677538837,9.281641770303235,0
VER,1,45.4,104.1,12500,2,59,0,0,2,45.61307671135628,9.281595959723543,0
VER,1,45.6,105.5,12500,2,46,0,0,2,45.61304550019947,9.281549642688555,0
VER,1,45.8,107.9,12500,2,59,0,0,2,45.61301357295894,9.281503538310629,0
VER,1,46.0,104.3,12500,2,94,0,0,2,45.61298059602869,9.28145723621206,0
VER,1,46.2,108.0,12500,2,90,0,0,2,45.61294840145917,9.281413289577692,0
VER,1,46.4,107.3,12500,2,92,0,0,2,45.61291472405079,9.281368610652235,0
VER,1,46.6,107.5,12500,2,95,0,0,2,45.612880914766514,9.281325047665709,0
VER,1,46.8,107.7,12500,2,98,0,0,2,45.61284670568962,9.281282247546809,0
VER,1,47.0,110.2,12500,2,94,0,0,2,45.612812081312526,9.281240198047207,0
VER,1,47.2,112.2,12500,2,94,0,0,2,45.61277631162279,9.281198058921099,0
VER,1,47.4,107.4,12500,2,100,0,0,2,45.61273951113056,9.281156042637198,0
VER,1,47.6,112.3,12500,2,98,0,0,2,45.612703922461,9.281116659264322,0
VER,1,47.8,111.4,12500,2,100,0,0,2,45.612666343997645,9.28107636461466,0
VER,1,48.0,118.8,12500,2,91,0,0,2,45.61262870844741,9.281037294728554,0
VER,1,48.2,116.0,12500,2,100,0,0,2,45.61258814433064,9.280996577305078,0
VER,1,48.4,115.8,12500,2,100,0,0,2,45.612548123512354,9.280957772681637,0
VER,1,48.6,111.6,12500,2,100,0,0,2,45.61250776119774,9.280919964610726,0
VER,1,48.8,117.6,12500,2,100,0,0,2,45.61246849805333,9.280884421508654,0
VER,1,49.0,123.2,12500,2,100,0,0,2,45.6124267177732,9.280847891287522,0
VER,1,49.2,120.7,12500,2,100,0,0,2,45.61238251714493,9.280810642865397,0
VER,1,49.4,126.7,11614,3,100,0,0,2,45.612338753476664,9.280775126933579,0
VER,1,49.6,127.9,11830,3,100,0,0,2,45.61229236879078,9.28073891003608,0
VER,1,49.8,128.8,11769,3,100,0,0,2,45.61224505998106,9.280703425545946,0
VER,1,50.0,130.1,11770,3,100,0,0,2,45.61219694764654,9.280668785442009,0
VER,1,50.2,133.9,12036,3,100,0,0,2,45.61214790266603,9.280634916568355,0
VER,1,50.4,131.4,11960,3,100,0,0,2,45.61209691183992,9.280601186485617,0
VER,1,50.6,134.2,11898,3,100,0,0,2,45.612046423598656,9.280569217931667,0
VER,1,50.8,138.4,12083,3,100,0,0,2,45.61199437382091,9.280537688701692,0
VER,1,51.0,142.9,12363,3,100,0,0,2,45.61194020182168,9.280506350368372,0
VER,1,51.2,145.9,12492,3,100,0,0,2,45.6118837751116,9.280475241446279,0
VER,1,51.4,144.8,12443,3,100,0,0,2,45.6118256322397,9.28044475276126,0
VER,1,51.6,154.2,12500,3,100,0,0,2,45.611767431149815,9.280415756139377,0
VER,1,51.8,150.5,12500,3,100,0,0,2,45.611704887361,9.280386218068676,0
VER,1,52.0,157.5,12500,3,100,0,0,2,45.61164335168299,9.280358722334567,0
VER,1,52.2,166.5,12500,3,100,0,0,2,45.61157842916452,9.280331319732086,0
VER,1,52.4,167.2,12500,3,100,0,0,2,45.61150925803429,9.280303853305842,0
VER,1,52.6,170.6,11696,4,100,0,0,2,45.611439293827694,9.280277798935515,0
VER,1,52.8,179.1,11923,4,100,0,0,2,45.61136738484038,9.280252740529038,0
VER,1,53.0,179.8,12064,4,100,0,0,2,45.61129137696353,9.280228053650573,0
VER,1,53.2,181.4,12024,4,100,0,0,2,45.611214624135975,9.280204905144746,0
VER,1,53.4,188.9,12345,4,100,0,0,2,45.611136769382476,9.28018315635677,0
VER,1,53.6,194.4,12484,4,100,0,0,2,45.61105529994459,9.280162166455657,0
VER,1,53.8,203.0,12500,4,100,0,0,2,45.61097109144929,9.280142268682297,0
VER,1,54.0,206.4,12500,4,100,0,0,2,45.61088283479034,9.280123265537602,0
VER,1,54.2,211.6,11516,5,100,0,0,2,45.610792867573885,9.280105731337141,0
VER,1,54.4,219.6,11761,5,100,0,0,2,45.61070047967235,9.28008954076541,0
VER,1,54.6,224.7,11895,5,100,0,0,2,45.610604518667586,9.280074551980048,0
VER,1,54.8,234.0,12366,5,100,0,0,2,45.61050639225244,9.280061028411449,0
VER,1,55.0,244.6,12500,5,100,0,0,2,45.610404451001926,9.280048781490978,0
VER,1,55.2,251.0,12500,5,100,0,0,2,45.61029827863539,9.280037841183361,0
VER,1,55.4,276.2,12247,6,100,0,0,2,45.610189947325836,9.280028443323564,0
VER,1,55.6,284.5,12420,6,100,0,0,2,45.6100716586719,9.280020048691705,0
VER,1,55.8,295.9,11575,7,100,0,0,2,45.609951163643636,9.280013315986556,0
VER,1,56.0,302.7,11633,7,100,0,0,2,45.60982757404504,9.280008114677484,0
VER,1,56.2,318.5,12085,7,100,0,0,2,45.6097033276248,9.280004411569104,0
VER,1,56.4,328.2,12270,7,100,0,0,2,45.609575380554844,9.280001957559724,0
VER,1,56.6,340.0,11488,8,100,0,0,2,45.60944702763873,9.280000613543777,0
VER,1,56.8,340.0,11412,8,100,0,0,2,45.60931829406088,9.2800000816808,0
VER,1,57.0,340.0,11456,8,44,0,0,2,45.609194410649174,9.28000000000576,0
VER,1,57.2,340.0,11504,8,0,33,0,2,45.609075924471675,9.27999993693881,0
VER,1,57.4,340.0,11579,8,0,85,0,2,45.608963379984516,9.279999460853452,0
VER,1,57.6,337.2,11419,8,0,100,0,2,45.60885731657072,9.27999814115863,0
VER,1,57.8,329.5,12306,7,0,100,0,2,45.608759057014275,9.279995577258763,0
VER,1,58.0,307.4,11727,7,0,100,0,2,45.60867018730508,9.279991465386098,0
VER,1,58.2,301.8,11563,7,0,100,0,2,45.608594068343585,9.279985857290317,0
VER,1,58.4,292.4,12500,6,0,100,0,2,45.60852606190463,9.279978381191698,0
VER,1,58.6,274.9,12164,6,0,100,0,2,45.6084668639948,9.279969004506599,0
VER,1,58.8,272.1,12060,6,0,100,0,2,45.60841747974144,9.279958041584427,0
VER,1,59.0,260.8,11828,6,0,100,0,2,45.608374824961,9.27994493201169,0
VER,1,59.2,251.7,12500,5,0,100,0,2,45.60833994358716,9.279930066090708,0
VER,1,59.4,239.8,12500,5,0,100,0,2,45.608312042542316,9.279913424567344,0
VER,1,59.6,236.4,12332,5,0,100,0,2,45.60829086775973,9.279895329188427,0
VER,1,59.8,231.0,12181,5,0,100,0,2,45.608275292379076,9.279875228249143,0
VER,1,60.0,213.8,11595,5,0,80,0,2,45.60826526400247,9.279853294817926,0
VER,1,60.2,214.2,11629,5,0,100,0,2,45.608260648016284,9.279830881839365,0
VER,1,60.4,207.8,12500,4,0,93,0,2,45.608260601726876,9.2798062990239,0
VER,1,60.6,202.7,12500,4,0,90,0,2,45.60826500591064,9.279780341142674,0
VER,1,60.8,193.3,12357,4,0,71,0,2,45.60827358262552,9.279752948665557,0
VER,1,61.0,192.1,12460,4,0,82,0,2,45.60828574978997,9.279724855678689,0
VER,1,61.2,188.1,12292,4,0,82,0,2,45.60830174671605,9.27969496641747,0
VER,1,61.4,184.3,12203,4,0,82,0,2,45.60832121963034,9.27966374802866,0
VER,1,61.6,177.9,11838,4,0,71,0,2,45.608343976055394,9.279631255369901,0
VER,1,61.8,178.0,11993,4,0,85,0,2,45.6083694290768,9.279598046992446,0
VER,1,62.0,170.4,11622,4,0,69,0,2,45.60839834163588,9.27956297463416,0
VER,1,62.2,165.5,12500,3,0,62,0,2,45.60842928342208,9.279527616168137,0
VER,1,62.4,161.6,12500,3,0,59,0,2,45.60846237846574,9.279491604837919,0
VER,1,62.6,160.0,12500,3,0,64,0,2,45.608497627846376,9.279454794916214,0
VER,1,62.8,158.4,12500,3,0,68,0,2,45.6085353729804,9.279416742622034,0
